"COD_MUNICIPIO","cep.min","cep.max"
2914653,45848000,45849999
2914703,46880000,46899999
2914802,45600000,45614999
2914802,45600001,45614999
2914901,45530000,45539999
2915007,46790000,46799999
2915106,45230000,45239999
2915205,45585000,45589999
2915304,45850000,45854999
2915353,47440000,47449999
2915403,45730000,45739999
2915502,45630000,45637999
2915601,45836000,45839999
2915700,45455000,45459999
2915809,45140000,45149999
2915809,45140001,45143999
2915908,48290000,48299999
2916005,45970000,45979999
2916104,44460000,44469999
2916203,45750000,45759999
2916302,45855000,45859999
2916401,45700000,45709999
2916500,48475000,48479999
2916609,45645000,45649999
2916708,45340000,45344999
2916807,45780000,45789999
2916856,46875000,46879999
2916906,45350000,45354999
2917003,48850000,48859999
2917102,45710000,45719999
2917201,46640000,46649999
2917300,45435000,45435999
2917334,46438000,46439999
2917334,46438001,46438999
2917359,47655000,47664999
2917359,47655001,47658999
2917409,46310000,46329999
2917508,44700000,44709999
2917508,44700001,44708999
2917607,45345000,45349999
2917706,48960000,48969999
2917805,44480000,44489999
2917904,48310000,48329999
2917904,48310001,48311999
2918001,45200000,45214999
2918001,45200001,45212999
2918100,48540000,48564999
2918209,45470000,45479999
2918308,45225000,45229999
2918357,44920000,44924999
2918407,48900000,48924999
2918407,48900001,48920999
2918456,45834000,45835999
2918506,44925000,44929999
2918555,45622000,45624999
2918605,46670000,46689999
2918704,45215000,45219999
2918753,46425000,46429999
2918753,46425001,46428999
2918803,45490000,45499999
2918902,45950000,45954999
2919009,46825000,46829999
2919058,45365000,45369999
2919108,48720000,48724999
2919157,44905000,44909999
2919207,42700000,42799999
2919207,42700001,42749999
2919306,46960000,46969999
2919405,46330000,46349999
2919504,46140000,46164999
2919553,47850000,47869999
2919553,47850001,47865999
2919603,46805000,46809999
2919702,45760000,45769999
2919801,46500000,46529999
2919900,48650000,48659999
2919926,42600000,42699999
2919959,46255000,46269999
2920007,45770000,45779999
2920106,44630000,44634999
2920205,46440000,46444999
2920205,46440001,46441999
2920304,46127000,46129999
2920403,45240000,45249999
2920452,47160000,47199999
2920452,47160001,47161999
2920502,45360000,45364999
2920601,44420000,44429999
2920700,45520000,45529999
2920809,46780000,46789999
2920908,45870000,45879999
2921005,48280000,48289999
2921054,46480000,46489999
2921104,45960000,45969999
2921203,44720000,44729999
2921302,45315000,45319999
2921401,44745000,44749999
2921450,45255000,45255999
2921500,48800000,48829999
2921500,48800001,48805999
2921609,47580000,47589999
2921609,47580001,47583999
2921708,44850000,44859999
2921807,46290000,46299999
2921906,46750000,46759999
2922003,45930000,45939999
2922052,44885000,44889999
2922102,44800000,44819999
2922201,44575000,44579999
2922250,47115000,47119999
2922300,44340000,44344999
2922409,45480000,45489999
2922508,44400000,44419999
2922607,45440000,45442999
2922656,48870000,48879999
2922706,45270000,45279999
2922730,44642000,44644999
2922755,45452000,45454999
2922805,45390000,45399999
2922854,46835000,46839999
2922854,46835001,46837999
2922904,48460000,48469999
2923001,45920000,45929999
2923035,46730000,46739999
2923050,48455000,48459999
2923100,48470000,48474999
2923209,47530000,47559999
2923308,48150000,48169999
2923357,44718000,44719999
2923407,46460000,46469999
2923407,46460001,46466999
2923506,46930000,46959999
2923506,46930001,46933999
2923605,46190000,46199999
2923704,47500000,47519999
2923803,48430000,48434999
2923803,48430001,48433999
2923902,45890000,45899999
2924009,48600000,48619999
2924009,48600001,48619999
2924058,44655000,44659999
2924108,48140000,48149999
2924207,48580000,48589999
2924306,46765000,46769999
2924405,47240000,47299999
2924504,46360000,46379999
2924504,46360001,46364999
2924603,44770000,44774999
2924603,44770001,44772999
2924652,44610000,44619999
2924678,45436000,45439999
2924702,46270000,46279999
2924801,44830000,44839999
2924900,45375000,45389999
2925006,45190000,45199999
2925105,45260000,45269999
2925105,45260001,45266999
2925204,48120000,48129999
2925253,44755000,44769999
2925303,45810000,45819999
2925303,46050000,46099999
2925303,46050001,46071999
2925402,45790000,45799999
2925501,45980000,45984999
2925600,44930000,44939999
2925600,44930001,44933999
2925709,46250000,46254999
2925709,46250001,46254999
2925758,45416000,45419999
2925808,48860000,48869999
2925907,48830000,48839999
2925931,44713000,44714999
2925931,44713001,44714999
2925956,44520000,44529999
2926004,47200000,47219999
2926103,48750000,48759999
2926202,47970000,47989999
2926301,44640000,44641999
2926400,46470000,46479999
2926509,48440000,48444999
2926608,48400000,48404999
2926657,45155000,45156999
2926707,46170000,46179999
2926806,46220000,46249999
2926905,46550000,46569999
2927002,48330000,48349999
2927101,48630000,48649999
2927200,46800000,46804999
2927309,44450000,44459999
2927408,40000000,42599999
2927408,40000001,42599999
2927507,44150000,44159999
2927606,48570000,48579999
2927705,45807000,45809999
2927804,45725000,45729999
2927903,45320000,45324999
2927903,45320001,45323999
2928059,45865000,45869999
2928109,47640000,47649999
2928109,47640001,47644999
2928406,47150000,47159999
2928406,47150001,47159999
2928505,44590000,44599999
2928000,48880000,48889999
2928208,47700000,47729999
2928208,47700001,47704999
2928307,44260000,44269999
2928604,44200000,44219999
2928703,44430000,44449999
2928703,44430001,44447999
2928802,44190000,44199999
2928901,47820000,47829999
2928901,47820001,47822999
2928950,48895000,48899999
2929107,44550000,44559999
2929008,44360000,44379999
2929057,47670000,47679999
2929057,47670001,47679999
2929206,43900000,43999999
2929255,44915000,44919999
2929305,44330000,44339999
2929354,45620000,45621999
2929370,44698000,44699999
2929404,44580000,44589999
2929503,43850000,43899999
2929602,44530000,44539999
2929701,48485000,48489999
2929750,44220000,44229999
2929800,44740000,44744999
2929909,46900000,46929999
2929909,46900001,46909999
2930006,46450000,46459999
2930105,48970000,48989999
2930204,47350000,47399999
2930154,47630000,47639999
2930154,47630000,47634999
2930303,47740000,47749999
2930303,47740001,47744999
2930402,44660000,44669999
2930501,48700000,48704999
2930600,44710000,44712999
2930709,43700000,43799999
2930709,43700001,43732999
2930758,47610000,47629999
2930766,48565000,48569999
2930774,48925000,48929999
2930808,46990000,47099999
2930808,46990001,46992999
2930907,47760000,47799999
2930907,47760001,47762999
2931004,46600000,46619999
2931053,46580000,46599999
2931053,46580001,46583999
2931103,44160000,44179999
2931202,45430000,45434999
2931301,44840000,44849999
2931301,44840001,44844999
2931350,45985000,45999999
2931350,45985000,45996999
2931400,44280000,44299999
2931509,48770000,48779999
2931608,45465000,45469999
2931707,44270000,44279999
2931806,45170000,45176999
2931905,48790000,48799999
2932002,48950000,48959999
2932101,45310000,45314999
2932200,45545000,45549999
2932309,45550000,45559999
2932408,44950000,44959999
2932457,44798000,44799999
2932507,45690000,45694999
2932606,46350000,46359999
2932705,45680000,45689999
2932804,46810000,46819999
2932903,45400000,45415999
2933000,48890000,48894999
2933000,48890001,48893999
2933059,44635000,44639999
2933059,44635001,44638999
2933109,44715000,44717999
2933158,44690000,44694999
2933174,44565000,44569999
2933208,44470000,44479999
2933257,45955000,45959999
2933307,45000000,45119999
2933307,45000001,45099999
2933406,46970000,46979999
2933406,46970001,46973999
2933455,47940000,47949999
2933455,47940001,47942999
2933505,45460000,45464999
2933604,47400000,47439999
2933604,47400001,47405999
2300101,63240000,63249999
2300150,62785000,62789999
2300200,62580000,62589999
2300309,63560000,63569999
2300408,63575000,63579999
2300507,62120000,62129999
2300606,63195000,63199999
2300705,62970000,62979999
2300754,62540000,62549999
2300804,63570000,63574999
2300903,62630000,62639999
2301000,61700000,61759999
2301109,62800000,62809999
2301109,62800001,62806999
2301208,62750000,62754999
2301257,62210000,62214999
2301307,63170000,63179999
2301406,62762000,62763999
2301505,63670000,63679999
