uf,localidade,faixa_inicio,faixa_fim,situacao,tipo_faixa
GO,São Luís de Montes Belos,76050-001,76058-999,Codificada por logradouros,Exclusiva da sede urbana
GO,São Luiz do Norte,76365-000,76369-999,Não codificada por logradouros,Total do município
GO,São Miguel do Araguaia,76590-000,76599-999,Não codificada por logradouros,Total do município
GO,São Miguel do Passa Quatro,75185-000,75189-999,Não codificada por logradouros,Total do município
GO,São Patrício,76343-000,76344-999,Não codificada por logradouros,Total do município
GO,São Simão,75890-000,75899-999,Não codificada por logradouros,Total do município
GO,Senador Canedo,75250-000,75264-999,Codificado por logradouros,Total do município
GO,Senador Canedo,75250-001,75264-999,Codificada por logradouros,Exclusiva da sede urbana
GO,Serranópolis,75820-000,75822-999,Não codificada por logradouros,Total do município
GO,Silvânia,75180-000,75183-999,Não codificada por logradouros,Total do município
GO,Simolândia,73930-000,73949-999,Não codificada por logradouros,Total do município
GO,Sítio D'Abadia,73990-000,73999-999,Não codificada por logradouros,Total do município
GO,Taquaral de Goiás,76640-000,76649-999,Codificado por logradouros,Total do município
GO,Taquaral de Goiás,76640-001,76644-999,Codificada por logradouros,Exclusiva da sede urbana
GO,Teresina de Goiás,73795-000,73799-999,Não codificada por logradouros,Total do município
GO,Terezópolis de Goiás,75175-000,75179-999,Codificado por logradouros,Total do município
GO,Terezópolis de Goiás,75175-001,75179-999,Codificada por logradouros,Exclusiva da sede urbana
GO,Três Ranchos,75720-000,75729-999,Não codificada por logradouros,Total do município
GO,Trindade,75380-000,75394-999,Codificado por logradouros,Total do município
GO,Trindade,75380-001,75394-499,Codificada por logradouros,Exclusiva da sede urbana
GO,Trombas,76460-000,76464-999,Não codificada por logradouros,Total do município
GO,Turvânia,76110-000,76119-999,Não codificada por logradouros,Total do município
GO,Turvelândia,75970-000,75979-999,Não codificada por logradouros,Total do município
GO,Uirapuru,76525-000,76529-999,Não codificada por logradouros,Total do município
GO,Uruaçu,76400-000,76409-999,Em codificação por logradouros,Total do município
GO,Uruaçu,76400-001,76408-999,Em codificação por logradouros,Exclusiva da sede urbana
GO,Uruana,76335-000,76339-999,Não codificada por logradouros,Total do município
GO,Urutaí,75790-000,75794-999,Não codificada por logradouros,Total do município
GO,Valparaíso de Goiás,72870-000,72879-999,Codificado por logradouros,Total do município
GO,Valparaíso de Goiás,72870-001,72879-999,Codificada por logradouros,Exclusiva da sede urbana
GO,Varjão,75355-000,75359-999,Não codificada por logradouros,Total do município
GO,Vianópolis,75265-000,75279-999,Não codificada por logradouros,Total do município
GO,Vicentinópolis,75555-000,75559-999,Em codificação por logradouros,Total do município
GO,Vicentinópolis,75555-001,75558-999,Em codificação por logradouros,Exclusiva da sede urbana
GO,Vila Boa,73825-000,73829-999,Não codificada por logradouros,Total do município
GO,Vila Propício,76393-000,76394-999,Não codificada por logradouros,Total do município
MA,Açailândia,65930-000,65934-999,Não codificada por logradouros,Total do município
MA,Afonso Cunha,65505-000,65509-999,Não codificada por logradouros,Total do município
MA,Água Doce do Maranhão,65578-000,65579-999,Não codificada por logradouros,Total do município
MA,Alcântara,65250-000,65254-999,Não codificada por logradouros,Total do município
MA,Aldeias Altas,65610-000,65614-999,Não codificada por logradouros,Total do município
MA,Altamira do Maranhão,65310-000,65314-999,Não codificada por logradouros,Total do município
MA,Alto Alegre do Maranhão,65413-000,65414-999,Não codificada por logradouros,Total do município
MA,Alto Alegre do Pindaré,65398-000,65399-999,Não codificada por logradouros,Total do município
MA,Alto Parnaíba,65810-000,65819-999,Não codificada por logradouros,Total do município
MA,Amapá do Maranhão,65293-000,65293-999,Não codificada por logradouros,Total do município
MA,Amarante do Maranhão,65923-000,65923-999,Não codificada por logradouros,Total do município
MA,Anajatuba,65490-000,65494-999,Não codificada por logradouros,Total do município
MA,Anapurus,65525-000,65529-999,Não codificada por logradouros,Total do município
MA,Apicum-Açu,65275-000,65275-999,Não codificada por logradouros,Total do município
